Filename                        None            Some            Many             Few       Alternate      None Time       Some Time       Many Time        Few Time  Alternate Time 
gnm-5000-10000-0.txt              -1         NP hard         NP hard               2           False        0.0079s            0.0s            0.0s         0.0653s         0.0107s 
gnm-5000-10000-1.txt              -1         NP hard         NP hard               1            True        0.0083s            0.0s            0.0s         0.0094s         0.0098s 
gnm-5000-7500-0.txt               -1         NP hard         NP hard              -1           False        0.0068s            0.0s            0.0s         0.0083s          0.008s 
gnm-5000-7500-1.txt               -1         NP hard         NP hard              -1           False        0.0072s            0.0s            0.0s         0.0084s         0.0079s 
grid-10-0.txt                     49         NP hard         NP hard               0           False        0.0002s            0.0s            0.0s         0.0002s         0.0002s 
grid-10-1.txt                     29         NP hard         NP hard               0           False        0.0002s            0.0s            0.0s         0.0002s         0.0002s 
grid-10-2.txt                     -1         NP hard         NP hard               2            True        0.0002s            0.0s            0.0s         0.0002s         0.0002s 
grid-25-0.txt                    324         NP hard         NP hard               0            True        0.0013s            0.0s            0.0s         0.0017s         0.0015s 
grid-25-1.txt                    123         NP hard         NP hard               0            True        0.0013s            0.0s            0.0s         0.0016s         0.0015s 
grid-25-2.txt                     -1         NP hard         NP hard               5            True        0.0012s            0.0s            0.0s         0.0019s         0.0019s 
grid-5-0.txt                      14         NP hard         NP hard               0            True        0.0001s            0.0s            0.0s         0.0001s         0.0001s 
grid-5-1.txt                       8         NP hard         NP hard               0            True           0.0s            0.0s            0.0s         0.0001s         0.0001s 
grid-5-2.txt                      -1         NP hard         NP hard               1            True           0.0s            0.0s            0.0s         0.0001s         0.0001s 
grid-50-0.txt                   1249         NP hard         NP hard               0           False        0.0049s            0.0s            0.0s         0.0078s         0.0061s 
grid-50-1.txt                    521         NP hard         NP hard               0           False         0.005s            0.0s            0.0s         0.0072s         0.0062s 
grid-50-2.txt                     -1         NP hard         NP hard              11           False        0.0048s            0.0s            0.0s         0.0078s         0.0061s 
increase-n10-1.txt                -1            True               2               1            True           0.0s            0.0s            0.0s            0.0s            0.0s 
increase-n10-2.txt                -1            True               3               2            True           0.0s            0.0s            0.0s            0.0s            0.0s 
increase-n10-3.txt                -1           False              -1              -1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
increase-n100-1.txt               -1           False              -1              -1           False        0.0006s          0.001s         0.0008s         0.0007s         0.0007s 
increase-n100-2.txt               -1            True              12               2            True        0.0006s         0.0009s         0.0008s         0.0008s         0.0007s 
increase-n100-3.txt               -1           False              -1              -1           False        0.0005s         0.0006s         0.0006s         0.0006s         0.0007s 
increase-n20-1.txt                -1           False              -1              -1           False           0.0s            0.0s            0.0s            0.0s            0.0s 
